"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","United Kingdom","18.2206","-63.0686","0","0","0","0","0","0","0","0","0","18.2206,-63.0686"
"-","United Kingdom","32.3078","-64.7505","9","9","9","9","9","9","9","9","9","32.3078,-64.7505"
"-","United Kingdom","18.4207","-64.64","1","1","1","1","1","1","1","1","1","18.4207,-64.64"
"-","United Kingdom","19.3133","-81.2546","1","1","1","1","1","1","1","1","1","19.3133,-81.2546"
"-","United Kingdom","49.3723","-2.3644","48","48","48","48","48","48","48","48","48","49.3723,-2.3644"
"-","United Kingdom","-51.7963","-59.5236","0","0","0","0","0","0","0","0","0","-51.7963,-59.5236"
"-","United Kingdom","36.1408","-5.3536","0","0","0","0","0","0","0","0","0","36.1408,-5.3536"
"-","United Kingdom","54.2361","-4.5481","24","24","24","24","24","24","24","24","24","54.2361,-4.5481"
"-","United Kingdom","16.742498","-62.187366000000004","1","1","1","1","1","1","1","1","1","16.742498,-62.187366000000004"
"-","United Kingdom","21.69400000000001","-71.7979","5","5","5","5","5","5","5","5","5","21.69400000000001,-71.7979"
"-","United Kingdom","55.3781","-3.4360000000000004","41554","41586","41594","41608","41614","41623","41628","41637","41637","55.3781,-3.4360000000000004"
"-","Uruguay","-32.5228","-55.7658","45","45","45","45","45","45","45","45","45","-32.5228,-55.7658"
"-","Uzbekistan","41.377491","64.585262","352","358","366","370","377","384","390","396","396","41.377491,64.585262"
"-","Venezuela","6.4238","-66.5897","436","444","452","460","468","477","485","494","494","6.4238,-66.5897"
"-","Vietnam","14.058323999999999","108.277199","35","35","35","35","35","35","35","35","35","14.058323999999999,108.277199"
"-","West Bank and Gaza","31.9522","35.2332","184","190","192","198","204","210","221","226","226","31.9522,35.2332"
"-","Western Sahara","24.2155","-12.8858","1","1","1","1","1","1","1","1","1","24.2155,-12.8858"
"-","Yemen","15.552726999999999","48.516388","573","576","576","580","582","582","583","583","583","15.552726999999999,48.516388"
"-","Zambia","-13.133897","27.849332","295","297","300","300","306","312","312","320","320","-13.133897,27.849332"
"-","Zimbabwe","-19.015438","29.154857","210","218","222","222","224","224","224","224","224","-19.015438,29.154857"
